Locus_tag	Strain_name	Phylotype	SDP	Ref
A9G14	P54G	Gilliamella	gilli_1	No
A9G17	wkB7	Gilliamella	gilli_1	No
B6D03	N-G5	Gilliamella	gilli_1	No
B6D19	N-22	Gilliamella	gilli_1	No
B6D08	A-7-12	Gilliamella	gilli_1	No
B5S40	A-1-24	Gilliamella	gilli_1	No
H3S73	B14384G12	Gilliamella	gilli_1	No
H3T96	W8136	Gilliamella	gilli_1	No
Ga0133555	ESL0169	Gilliamella	gilli_2	Yes
Ga0133556	ESL0172	Gilliamella	gilli_2	No
B6C99	N-G2	Gilliamella	gilli_2	No
B6D18	A7	Gilliamella	gilli_2	No
A9G16	P83G	Gilliamella	gilli_2	No
A9G19	M1-2G	Gilliamella	gilli_2	No
A9G15	P62G	Gilliamella	gilli_2	No
B6C96	NO15	Gilliamella	gilli_2	No
B6D14	N-G4	Gilliamella	gilli_2	No
B6D17	N-G1	Gilliamella	gilli_2	No
B6D21	AM1	Gilliamella	gilli_2	No
B6C88	NO16	Gilliamella	gilli_2	No
H3U96	M0364	Gilliamella	gilli_2	No
H3T80	W8145	Gilliamella	gilli_2	No
H3T56	W8123	Gilliamella	gilli_2	No
H3T83	M0320	Gilliamella	gilli_2	No
H3U97	W8128	Gilliamella	gilli_2	No
Ga0133557	ESL0177	Gilliamella	gilli_3	Yes
Ga0133558	ESL0182	Gilliamella	gilli_3	No
Ga0307802	ESL0441	Gilliamella	gilli_4	Yes
A9G10	wkB308	Gilliamella	gilli_4	No
Ga0307800	ESL0405	Gilliamella	gilli_5	Yes
Ga0307803	ESL0443	Gilliamella	gilli_6	Yes
A9G07	wkB72	Gilliamella	gilli_6	No
A9G08	wkB195	Gilliamella	gilli_6	No
A9G09	wkB292	Gilliamella	gilli_apis_andre	No
A9G03	wkB171	Gilliamella	gilli_apis_andre	Yes
A9G11	wkB108	Gilliamella	gilli_apis_dorsa	No
A9G12	wkB112	Gilliamella	gilli_apis_dorsa	No
A9G13	wkB178	Gilliamella	gilli_apis_dorsa	Yes
A9G23	App4-10	Gilliamella	gilli_bombus	No
A9G24	App6-5	Gilliamella	gilli_bombus	No
A9G29	Fer2-1	Gilliamella	gilli_bombus	No
Ga0055041	wkB11	Gilliamella	gilli_bombus	No
A9G30	Fer4-1	Gilliamella	gilli_bombus	No
A9G31	Gris1-4	Gilliamella	gilli_bombus	No
A9G32	Gris3-2	Gilliamella	gilli_bombus	No
A9G35	Choc5-1	Gilliamella	gilli_bombus	No
A9G37	GilliExp13	Gilliamella	gilli_bombus	No
A9G38	Imp1-1	Gilliamella	gilli_bombus	No
A9G39	Imp1-6	Gilliamella	gilli_bombus	No
A9G41	Nev5-1	Gilliamella	gilli_bombus	No
A9G42	Nev6-6	Gilliamella	gilli_bombus	No
A9G43	Occ3-1	Gilliamella	gilli_bombus	No
A9G44	Occ4-3	Gilliamella	gilli_bombus	No
A9G47	WF3-4	Gilliamella	gilli_bombus	No
Ga0227298	ESL0232	Gilliamella	gilli_bombus	No
Ga0227301	ESL0250	Gilliamella	gilli_bombus	No
Ga0227302	ESL0254	Gilliamella	gilli_bombus	Yes
Ga0061080	R-53144	Gilliamella	gilli_bombus	No
Ga0098617	Fhon2	Lkunkeei	lkun	Yes
Ga0308523	Fhon13	Lkunkeei	lkun	No
H3T37	M0345	Lkunkeei	lkun	No
Ga0326500	ESL0196	Snodgrassella	snod_1	No
SALWKB2	wkB2	Snodgrassella	snod_1	Yes
CPT77	E1	Snodgrassella	snod_1	No
BGH94	Aw-20	Snodgrassella	snod_1	No
BGH95	Aw-18	Snodgrassella	snod_1	No
BGH96	A12	Snodgrassella	snod_1	No
BGH97	A-10-12	Snodgrassella	snod_1	No
BGI00	A-1-12	Snodgrassella	snod_1	No
BGI01	A2	Snodgrassella	snod_1	No
BGI08	N-W7	Snodgrassella	snod_1	No
BGI09	N9	Snodgrassella	snod_1	No
BGI12	N-S3	Snodgrassella	snod_1	No
BGI13	N-S4	Snodgrassella	snod_1	No
BHC42	wkB332	Snodgrassella	snod_1	No
BHC47	PEB0171	Snodgrassella	snod_1	No
BHC50	wkB339	Snodgrassella	snod_1	No
BHC52	MS1-3	Snodgrassella	snod_1	No
Ga0227305	ESL0323	Snodgrassella	snod_1	No
Ga0227306	ESL0324	Snodgrassella	snod_1	No
Ga0227304	ESL0304	Snodgrassella	snod_1	No
H3U73	W8124	Snodgrassella	snod_1	No
H3T75	W8135	Snodgrassella	snod_1	No
H3T79	M0118	Snodgrassella	snod_1	No
H3U82	W8132	Snodgrassella	snod_1	No
H3V10	W6238H14	Snodgrassella	snod_1	No
H3V01	M0351	Snodgrassella	snod_1	No
H3V11	W8158	Snodgrassella	snod_1	No
BHC53	wkB237	Snodgrassella	snod_2	Yes
BHC43	wkB298	Snodgrassella	snod_2	No
BHC54	wkB273	Snodgrassella	snod_2	No
BHC44	Nev4-2	Snodgrassella	snod_bombus	No
BHC46	Ruf1-X	Snodgrassella	snod_bombus	No
BHC48	Occ4-2	Snodgrassella	snod_bombus	No
BHC57	HK3	Snodgrassella	snod_bombus	No
BGI32	App2-2	Snodgrassella	snod_bombus	No
BGI34	App6-4	Snodgrassella	snod_bombus	No
BGI36	Fer2-2	Snodgrassella	snod_bombus	No
SALWKB12	wkB12	Snodgrassella	snod_bombus	Yes
Ga0227310	ESL0253	Snodgrassella	snod_bombus	No
