Sample,motu,rel_ab,Present,Prevalence_num,Prevalence,Kingdom,Phylum,Class,Order,Family,Genus,Species,Sample_type,Collection_date,Location,Hive_origin,Number_guts,Number_scabs,Tube_mass,Tube_gut_mass,Gut_mass,Average_gut_mass,RNA_concentration,DNA_concentration,delta_CT,Comments,volume for 300 ng RNA (ul),V17,DNA_yield,RNA_yield,unmapped_perc
F02,ext_mOTU_v3_16147,0.07992349,1,31,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bartonellaceae,Bartonella,s__Bartonella species incertae sedis,Foragers,25.06.19,UNIL,Dent de Morcles,20,7,2.1632,2.3796,0.2164,0.01082,242.4,91.4,7.936176,,1.238,NA,5484,14544,13 %
F02,ext_mOTU_v3_16155,0.657352929,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,Lactobacillus,s__Lactobacillus species incertae sedis,Foragers,25.06.19,UNIL,Dent de Morcles,20,7,2.1632,2.3796,0.2164,0.01082,242.4,91.4,7.936176,,1.238,NA,5484,14544,13 %
F02,unassigned,0.078699965,1,31,1,unassigned,NA,NA,NA,NA,NA,NA,Foragers,25.06.19,UNIL,Dent de Morcles,20,7,2.1632,2.3796,0.2164,0.01082,242.4,91.4,7.936176,,1.238,NA,5484,14544,13 %
F03,ref_mOTU_v3_05086,0.078013502,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Leuconostocaceae,Fructobacillus,s__Fructobacillus fructosus,Foragers,25.06.19,UNIL,Cornettes de Bises,20,11,2.1658,2.4322,0.2664,0.01332,264.9,73.3,7.522292,,1.133,NA,4398,15894,16 %
F03,ref_mOTU_v3_08304,0.100363649,1,31,1,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,Snodgrassella,s__Snodgrassella alvi,Foragers,25.06.19,UNIL,Cornettes de Bises,20,11,2.1658,2.4322,0.2664,0.01332,264.9,73.3,7.522292,,1.133,NA,4398,15894,16 %
F03,ext_mOTU_v3_16147,0.02939755,1,31,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bartonellaceae,Bartonella,s__Bartonella species incertae sedis,Foragers,25.06.19,UNIL,Cornettes de Bises,20,11,2.1658,2.4322,0.2664,0.01332,264.9,73.3,7.522292,,1.133,NA,4398,15894,16 %
F03,ext_mOTU_v3_16155,0.700999703,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,Lactobacillus,s__Lactobacillus species incertae sedis,Foragers,25.06.19,UNIL,Cornettes de Bises,20,11,2.1658,2.4322,0.2664,0.01332,264.9,73.3,7.522292,,1.133,NA,4398,15894,16 %
F03,unassigned,0.072094922,1,31,1,unassigned,NA,NA,NA,NA,NA,NA,Foragers,25.06.19,UNIL,Cornettes de Bises,20,11,2.1658,2.4322,0.2664,0.01332,264.9,73.3,7.522292,,1.133,NA,4398,15894,16 %
F04,ref_mOTU_v3_08304,0.040524082,1,31,1,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,Snodgrassella,s__Snodgrassella alvi,Foragers,26.07.19,Liebefeld,Liebefeld 1,20,10,2.1859,2.323,0.1371,0.006855,620,81.1,9.299903,,0.484,NA,4866,37200,11 %
F04,ext_mOTU_v3_16145,0.026390192,1,31,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,Acetobacteraceae gen. incertae sedis,s__Acetobacteraceae species incertae sedis,Foragers,26.07.19,Liebefeld,Liebefeld 1,20,10,2.1859,2.323,0.1371,0.006855,620,81.1,9.299903,,0.484,NA,4866,37200,11 %
F04,ext_mOTU_v3_16147,0.331203851,1,31,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bartonellaceae,Bartonella,s__Bartonella species incertae sedis,Foragers,26.07.19,Liebefeld,Liebefeld 1,20,10,2.1859,2.323,0.1371,0.006855,620,81.1,9.299903,,0.484,NA,4866,37200,11 %
F04,ext_mOTU_v3_16148,0.130916277,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,Pseudomonas,s__Pseudomonas species incertae sedis,Foragers,26.07.19,Liebefeld,Liebefeld 1,20,10,2.1859,2.323,0.1371,0.006855,620,81.1,9.299903,,0.484,NA,4866,37200,11 %
F04,ext_mOTU_v3_16155,0.397735534,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,Lactobacillus,s__Lactobacillus species incertae sedis,Foragers,26.07.19,Liebefeld,Liebefeld 1,20,10,2.1859,2.323,0.1371,0.006855,620,81.1,9.299903,,0.484,NA,4866,37200,11 %
F04,unassigned,0.066515,1,31,1,unassigned,NA,NA,NA,NA,NA,NA,Foragers,26.07.19,Liebefeld,Liebefeld 1,20,10,2.1859,2.323,0.1371,0.006855,620,81.1,9.299903,,0.484,NA,4866,37200,11 %
F06,ref_mOTU_v3_02543,0.018260193,1,31,1,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Entomoplasmatales,f__Spiroplasmataceae,Spiroplasma,s__Spiroplasma citri/melliferum,Foragers,26.07.19,Liebefeld,Liebefeld 3,20,8,2.1787,2.2897,0.111,0.00555,555,118,8.780199,,0.541,NA,7080,33300,14 %
F06,ref_mOTU_v3_05086,0.012088531,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Leuconostocaceae,Fructobacillus,s__Fructobacillus fructosus,Foragers,26.07.19,Liebefeld,Liebefeld 3,20,8,2.1787,2.2897,0.111,0.00555,555,118,8.780199,,0.541,NA,7080,33300,14 %
F06,ref_mOTU_v3_08304,0.042515621,1,31,1,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,Snodgrassella,s__Snodgrassella alvi,Foragers,26.07.19,Liebefeld,Liebefeld 3,20,8,2.1787,2.2897,0.111,0.00555,555,118,8.780199,,0.541,NA,7080,33300,14 %
F06,ext_mOTU_v3_16147,0.183080438,1,31,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bartonellaceae,Bartonella,s__Bartonella species incertae sedis,Foragers,26.07.19,Liebefeld,Liebefeld 3,20,8,2.1787,2.2897,0.111,0.00555,555,118,8.780199,,0.541,NA,7080,33300,14 %
F06,ext_mOTU_v3_16148,0.131544683,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,Pseudomonas,s__Pseudomonas species incertae sedis,Foragers,26.07.19,Liebefeld,Liebefeld 3,20,8,2.1787,2.2897,0.111,0.00555,555,118,8.780199,,0.541,NA,7080,33300,14 %
F06,ext_mOTU_v3_16155,0.589501241,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,Lactobacillus,s__Lactobacillus species incertae sedis,Foragers,26.07.19,Liebefeld,Liebefeld 3,20,8,2.1787,2.2897,0.111,0.00555,555,118,8.780199,,0.541,NA,7080,33300,14 %
F06,unassigned,0.020964897,1,31,1,unassigned,NA,NA,NA,NA,NA,NA,Foragers,26.07.19,Liebefeld,Liebefeld 3,20,8,2.1787,2.2897,0.111,0.00555,555,118,8.780199,,0.541,NA,7080,33300,14 %
F07,ref_mOTU_v3_00086,0.010791776,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,Klebsiella,s__Klebsiella michiganensis/oxytoca [Klebsiella michiganensis/Proteus sp. HMSC10D02/Enterobacter sp. HMSC055A11/Klebsiella sp. LTGPAF-6F/Klebsiella sp. M5al/Klebsiella oxytoca/Klebsiella sp. AS10/Klebsiella sp. OBRC7],Foragers,26.07.19,Liebefeld,Liebefeld 4,20,12,2.1468,2.2664,0.1196,0.00598,510,107,7.533631,,0.588,NA,6420,30600,9 %
F07,ref_mOTU_v3_05086,0.07986127,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Leuconostocaceae,Fructobacillus,s__Fructobacillus fructosus,Foragers,26.07.19,Liebefeld,Liebefeld 4,20,12,2.1468,2.2664,0.1196,0.00598,510,107,7.533631,,0.588,NA,6420,30600,9 %
F07,ref_mOTU_v3_08304,0.056197226,1,31,1,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,Snodgrassella,s__Snodgrassella alvi,Foragers,26.07.19,Liebefeld,Liebefeld 4,20,12,2.1468,2.2664,0.1196,0.00598,510,107,7.533631,,0.588,NA,6420,30600,9 %
F07,ext_mOTU_v3_16147,0.34451842,1,31,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bartonellaceae,Bartonella,s__Bartonella species incertae sedis,Foragers,26.07.19,Liebefeld,Liebefeld 4,20,12,2.1468,2.2664,0.1196,0.00598,510,107,7.533631,,0.588,NA,6420,30600,9 %
F07,ext_mOTU_v3_16148,0.308274156,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,Pseudomonas,s__Pseudomonas species incertae sedis,Foragers,26.07.19,Liebefeld,Liebefeld 4,20,12,2.1468,2.2664,0.1196,0.00598,510,107,7.533631,,0.588,NA,6420,30600,9 %
F07,ext_mOTU_v3_16155,0.165002835,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,Lactobacillus,s__Lactobacillus species incertae sedis,Foragers,26.07.19,Liebefeld,Liebefeld 4,20,12,2.1468,2.2664,0.1196,0.00598,510,107,7.533631,,0.588,NA,6420,30600,9 %
F07,unassigned,0.025406534,1,31,1,unassigned,NA,NA,NA,NA,NA,NA,Foragers,26.07.19,Liebefeld,Liebefeld 4,20,12,2.1468,2.2664,0.1196,0.00598,510,107,7.533631,,0.588,NA,6420,30600,9 %
F08,ref_mOTU_v3_08304,0.121353911,1,31,1,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,Snodgrassella,s__Snodgrassella alvi,Foragers,30.07.19,Yens,Yens 1,20,13,2.1585,2.2775,0.119,0.00595,610,93.8,9.460384,,0.492,NA,5628,36600,7 %
F08,ext_mOTU_v3_16147,0.226547064,1,31,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bartonellaceae,Bartonella,s__Bartonella species incertae sedis,Foragers,30.07.19,Yens,Yens 1,20,13,2.1585,2.2775,0.119,0.00595,610,93.8,9.460384,,0.492,NA,5628,36600,7 %
F08,ext_mOTU_v3_16148,0.063070755,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,Pseudomonas,s__Pseudomonas species incertae sedis,Foragers,30.07.19,Yens,Yens 1,20,13,2.1585,2.2775,0.119,0.00595,610,93.8,9.460384,,0.492,NA,5628,36600,7 %
F08,ext_mOTU_v3_16155,0.454617782,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,Lactobacillus,s__Lactobacillus species incertae sedis,Foragers,30.07.19,Yens,Yens 1,20,13,2.1585,2.2775,0.119,0.00595,610,93.8,9.460384,,0.492,NA,5628,36600,7 %
F08,unassigned,0.124925975,1,31,1,unassigned,NA,NA,NA,NA,NA,NA,Foragers,30.07.19,Yens,Yens 1,20,13,2.1585,2.2775,0.119,0.00595,610,93.8,9.460384,,0.492,NA,5628,36600,7 %
F09,ref_mOTU_v3_08304,0.092959859,1,31,1,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,Snodgrassella,s__Snodgrassella alvi,Foragers,30.07.19,Yens,Yens 2,20,7,2.1681,2.3655,0.1974,0.00987,332,91.4,8.325063,6 of the 20 foragers were nectar foragers, the 14 others were pollen foragers.,0.904,NA,5484,19920,13 %
F09,ext_mOTU_v3_16147,0.384043514,1,31,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bartonellaceae,Bartonella,s__Bartonella species incertae sedis,Foragers,30.07.19,Yens,Yens 2,20,7,2.1681,2.3655,0.1974,0.00987,332,91.4,8.325063,6 of the 20 foragers were nectar foragers, the 14 others were pollen foragers.,0.904,NA,5484,19920,13 %
F09,ext_mOTU_v3_16148,0.071826956,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,Pseudomonas,s__Pseudomonas species incertae sedis,Foragers,30.07.19,Yens,Yens 2,20,7,2.1681,2.3655,0.1974,0.00987,332,91.4,8.325063,6 of the 20 foragers were nectar foragers, the 14 others were pollen foragers.,0.904,NA,5484,19920,13 %
F09,ext_mOTU_v3_16155,0.360674839,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,Lactobacillus,s__Lactobacillus species incertae sedis,Foragers,30.07.19,Yens,Yens 2,20,7,2.1681,2.3655,0.1974,0.00987,332,91.4,8.325063,6 of the 20 foragers were nectar foragers, the 14 others were pollen foragers.,0.904,NA,5484,19920,13 %
F09,unassigned,0.057154409,1,31,1,unassigned,NA,NA,NA,NA,NA,NA,Foragers,30.07.19,Yens,Yens 2,20,7,2.1681,2.3655,0.1974,0.00987,332,91.4,8.325063,6 of the 20 foragers were nectar foragers, the 14 others were pollen foragers.,0.904,NA,5484,19920,13 %
F10,ref_mOTU_v3_02508,0.018117643,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Morganellaceae,Morganella,s__Morganella morganii [Morganella sp. EGD-HP17/Morganella sp. HMSC11D09/Morganella morganii],Foragers,30.07.19,Yens,Yens 3,20,11,2.1519,2.3028,0.1509,0.007545,560,83.1,7.589974,,0.536,NA,4986,33600,7 %
F10,ref_mOTU_v3_08304,0.102859348,1,31,1,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,Snodgrassella,s__Snodgrassella alvi,Foragers,30.07.19,Yens,Yens 3,20,11,2.1519,2.3028,0.1509,0.007545,560,83.1,7.589974,,0.536,NA,4986,33600,7 %
F10,ext_mOTU_v3_16147,0.238573336,1,31,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bartonellaceae,Bartonella,s__Bartonella species incertae sedis,Foragers,30.07.19,Yens,Yens 3,20,11,2.1519,2.3028,0.1509,0.007545,560,83.1,7.589974,,0.536,NA,4986,33600,7 %
F10,ext_mOTU_v3_16155,0.487431369,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,Lactobacillus,s__Lactobacillus species incertae sedis,Foragers,30.07.19,Yens,Yens 3,20,11,2.1519,2.3028,0.1509,0.007545,560,83.1,7.589974,,0.536,NA,4986,33600,7 %
F10,ext_mOTU_v3_24917,0.037255154,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,Enterobacteriaceae gen. incertae sedis,s__Enterobacteriaceae species incertae sedis,Foragers,30.07.19,Yens,Yens 3,20,11,2.1519,2.3028,0.1509,0.007545,560,83.1,7.589974,,0.536,NA,4986,33600,7 %
F10,unassigned,0.087300277,1,31,1,unassigned,NA,NA,NA,NA,NA,NA,Foragers,30.07.19,Yens,Yens 3,20,11,2.1519,2.3028,0.1509,0.007545,560,83.1,7.589974,,0.536,NA,4986,33600,7 %
F11,ref_mOTU_v3_00086,0.0121719942,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,Klebsiella,s__Klebsiella michiganensis/oxytoca [Klebsiella michiganensis/Proteus sp. HMSC10D02/Enterobacter sp. HMSC055A11/Klebsiella sp. LTGPAF-6F/Klebsiella sp. M5al/Klebsiella oxytoca/Klebsiella sp. AS10/Klebsiella sp. OBRC7],Foragers,06.08.19,Cugy,Cugy 1,11,6,2.1669,2.2558,0.0889,0.008081818,174.5,58.8,9.449946,,1.719,NA,3528,10470,13 %
F11,ref_mOTU_v3_02125,0.0288449561,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Morganellaceae,Arsenophonus,s__Arsenophonus nasoniae,Foragers,06.08.19,Cugy,Cugy 1,11,6,2.1669,2.2558,0.0889,0.008081818,174.5,58.8,9.449946,,1.719,NA,3528,10470,13 %
F11,ref_mOTU_v3_02543,0.0535691981,1,31,1,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Entomoplasmatales,f__Spiroplasmataceae,Spiroplasma,s__Spiroplasma citri/melliferum,Foragers,06.08.19,Cugy,Cugy 1,11,6,2.1669,2.2558,0.0889,0.008081818,174.5,58.8,9.449946,,1.719,NA,3528,10470,13 %
F11,ref_mOTU_v3_05086,0.0356583221,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Leuconostocaceae,Fructobacillus,s__Fructobacillus fructosus,Foragers,06.08.19,Cugy,Cugy 1,11,6,2.1669,2.2558,0.0889,0.008081818,174.5,58.8,9.449946,,1.719,NA,3528,10470,13 %
F11,ref_mOTU_v3_08304,0.0281083827,1,31,1,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,Snodgrassella,s__Snodgrassella alvi,Foragers,06.08.19,Cugy,Cugy 1,11,6,2.1669,2.2558,0.0889,0.008081818,174.5,58.8,9.449946,,1.719,NA,3528,10470,13 %
F11,ext_mOTU_v3_16145,0.1060008503,1,31,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,Acetobacteraceae gen. incertae sedis,s__Acetobacteraceae species incertae sedis,Foragers,06.08.19,Cugy,Cugy 1,11,6,2.1669,2.2558,0.0889,0.008081818,174.5,58.8,9.449946,,1.719,NA,3528,10470,13 %
F11,ext_mOTU_v3_16147,0.1299750257,1,31,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bartonellaceae,Bartonella,s__Bartonella species incertae sedis,Foragers,06.08.19,Cugy,Cugy 1,11,6,2.1669,2.2558,0.0889,0.008081818,174.5,58.8,9.449946,,1.719,NA,3528,10470,13 %
F11,ext_mOTU_v3_16148,0.1174465012,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,Pseudomonas,s__Pseudomonas species incertae sedis,Foragers,06.08.19,Cugy,Cugy 1,11,6,2.1669,2.2558,0.0889,0.008081818,174.5,58.8,9.449946,,1.719,NA,3528,10470,13 %
F11,ext_mOTU_v3_16155,0.1103223735,1,31,1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,Lactobacillus,s__Lactobacillus species incertae sedis,Foragers,06.08.19,Cugy,Cugy 1,11,6,2.1669,2.2558,0.0889,0.008081818,174.5,58.8,9.449946,,1.719,NA,3528,10470,13 %
F11,ext_mOTU_v3_24917,0.1744328403,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,Enterobacteriaceae gen. incertae sedis,s__Enterobacteriaceae species incertae sedis,Foragers,06.08.19,Cugy,Cugy 1,11,6,2.1669,2.2558,0.0889,0.008081818,174.5,58.8,9.449946,,1.719,NA,3528,10470,13 %
F11,unassigned,0.1912888191,1,31,1,unassigned,NA,NA,NA,NA,NA,NA,Foragers,06.08.19,Cugy,Cugy 1,11,6,2.1669,2.2558,0.0889,0.008081818,174.5,58.8,9.449946,,1.719,NA,3528,10470,13 %
F12,ref_mOTU_v3_00077,0.012690044,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,Enterobacter,s__ Enterobacter sp. [Enterobacter asburiae/Enterobacter bugandensis/Enterobacter cancerogenus/Enterobacter chengduensis/Enterobacter cloacae/Enterobacter genomosp. O/Enterobacter genomosp. S/Enterobacter hormaechei/Enterobacter kobei/Enterobacter ludwigii/Enterobacter roggenkampii/Enterobacter sichuanensis/Enterobacter sp. 50588862/Enterobacter sp. 50793107/Enterobacter sp. 50858885/Enterobacter sp. 56-7/Enterobacter sp. 940_PEND/Enterobacter sp. BIDMC 26/Enterobacter sp. BIDMC 27/Enterobacter sp. BIDMC 28/Enterobacter sp. BIDMC 30/Enterobacter sp. BIDMC100/Enterobacter sp. BIDMC109/Enterobacter sp. BIDMC87/Enterobacter sp. BIDMC92/Enterobacter sp. BIDMC93/Enterobacter sp. BIDMC94/Enterobacter sp. BIDMC99/Enterobacter sp. BWH 37/Enterobacter sp. BWH52/Enterobacter sp. BWH63/Enterobacter sp. BWH64/Enterobacter sp. DC1/Enterobacter sp. DC3/Enterobacter sp. DC4/Enterobacter sp. E20/Enterobacter sp. EGD-HP1/Enterobacter sp. HK169/Enterobacter sp. HMSC16D10/Enterobacter sp. IF2SW-P2/Enterobacter sp. J49/Enterobacter sp. K66-74/Enterobacter sp. ku-bf2/Enterobacter sp. MGH 1/Enterobacter sp. MGH 10/Enterobacter sp. MGH 14/Enterobacter sp. MGH 15/Enterobacter sp. MGH 22/Enterobacter sp. MGH 23/Enterobacter sp. MGH 24/Enterobacter sp. MGH 25/Enterobacter sp. MGH 3/Enterobacter sp. MGH 33/Enterobacter sp. MGH 37/Enterobacter sp. MGH 38/Enterobacter sp. MGH 6/Enterobacter sp. MGH 7/Enterobacter sp. MGH119/Enterobacter sp. MGH120/Enterobacter sp. MGH128/Enterobacter sp. NFIX45/Enterobacter sp. NFIX58/Enterobacter sp. NFIX59/Enterobacter sp. ODB01/Enterobacter sp. PDC34/Enterobacter sp. SENG-6/Enterobacter sp. ST121:950178628/Enterobacter sp. T1-1/Enterobacter sp. UCD-UG_FMILLET/Escherichia coli/Klebsiella aerogenes/Klebsiella oxytoca/Leclercia adecarboxylata/Leclercia sp. LK8/Lelliottia amnigena/Lelliottia nimipressuralis/Pantoea sesami/Pedobacter himalayensis],Foragers,06.08.19,Cugy,Cugy 2,16,7,2.161,2.3348,0.1738,0.0108625,308,83.9,8.752052,,0.974,NA,5034,18480,16 %
F12,ref_mOTU_v3_02125,0.0117641401,1,31,1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Morganellaceae,Arsenophonus,s__Arsenophonus nasoniae,Foragers,06.08.19,Cugy,Cugy 2,16,7,2.161,2.3348,0.1738,0.0108625,308,83.9,8.752052,,0.974,NA,5034,18480,16 %
F12,ref_mOTU_v3_08304,0.0221103766,1,31,1,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,Snodgrassella,s__Snodgrassella alvi,Foragers,06.08.19,Cugy,Cugy 2,16,7,2.161,2.3348,0.1738,0.0108625,308,83.9,8.752052,,0.974,NA,5034,18480,16 %
F12,ext_mOTU_v3_16145,0.1687146364,1,31,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,Acetobacteraceae gen. incertae sedis,s__Acetobacteraceae species incertae sedis,Foragers,06.08.19,Cugy,Cugy 2,16,7,2.161,2.3348,0.1738,0.0108625,308,83.9,8.752052,,0.974,NA,5034,18480,16 %
F12,ext_mOTU_v3_16147,0.2401059594,1,31,1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bartonellaceae,Bartonella,s__Bartonella species incertae sedis,Foragers,06.08.19,Cugy,Cugy 2,16,7,2.161,2.3348,0.1738,0.0108625,308,83.9,8.752052,,0.974,NA,5034,18480,16 %
